word,freq,doc_freq,tfidf_top_k_mean,token_count,IWF
musselburgh,20,7,0.11382622603687102,4,0.34147867811061305
shogakukan,10,3,0.08525225546837385,5,0.3410090218734954
honeyeater,10,4,0.11317962289029757,4,0.33953886867089267
benschopse,4,3,0.08439590553734426,5,0.33758362214937704
francophone,41,27,0.11251848832632172,4,0.33755546497896516
gymnast,65,42,0.11176102181033051,4,0.3352830654309915
windsurfing,7,7,0.08378639520000149,5,0.33514558080000595
klugman,3,3,0.11153592221325265,4,0.33460776663975794
deutschland,36,25,0.11114611548261806,4,0.3334383464478542
glenfaba,8,3,0.1111086541556587,4,0.3333259624669761
hürriyet,12,11,0.08329065139452765,5,0.3331626055781106
aberdare,159,6,0.11102103485248285,4,0.3330631045574486
robertson,183,101,0.11093441834350462,4,0.3328032550305139
ogasawara,16,4,0.11085800535679995,4,0.3325740160703998
tbilisi,44,18,0.11027652325421308,4,0.3308295697626392
bjørke,6,3,0.11021917453364222,4,0.33065752360092665
białystok,20,4,0.08247986146856005,5,0.3299194458742402
yaylaköy,3,3,0.0823385673383528,5,0.3293542693534112
buckwalter,9,3,0.08214214150855535,5,0.3285685660342214
jötunn,19,3,0.10922982194381893,4,0.3276894658314568
gaziantep,6,3,0.08153742420803195,5,0.3261496968321278
kirkcaldy,20,6,0.1080420578030004,4,0.3241261734090012
palaiologos,59,16,0.08087614006592692,5,0.32350456026370766
supernovae,35,21,0.08079984239190958,5,0.32319936956763834
kurudere,3,3,0.10762529584873615,4,0.32287588754620844
saltanat,15,3,0.1074192158973708,4,0.3222576476921124
magnússon,11,5,0.10733710650530437,4,0.3220113195159131
teutoburg,12,9,0.10718826881554082,4,0.32156480644662244
yeşiltepe,5,5,0.08033371538959351,5,0.32133486155837404
boldklub,28,11,0.08017655877629815,5,0.3207062351051926
pinheiros,13,3,0.10688601913070366,4,0.32065805739211095
gymnastics,136,65,0.10680799331753013,4,0.3204239799525904
monocotyledons,21,7,0.06383312858234089,6,0.31916564291170446
trebizond,60,28,0.10629475250170968,4,0.31888425750512905
ribagorza,5,3,0.10623792594637986,4,0.31871377783913957
hawaiian,102,56,0.10612258544451567,4,0.31836775633354697
diradical,11,3,0.10608412797263006,4,0.3182523839178902
croydon,38,21,0.10567392996268472,4,0.3170217898880542
gündoğdu,4,4,0.06304601968138643,6,0.31523009840693217
bézout,30,3,0.10501890263475401,4,0.31505670790426205
prayagraj,25,7,0.10500765595366386,4,0.3150229678609916
predecessor,326,262,0.07858990907765773,5,0.3143596363106309
karahüyük,4,3,0.07849373934230307,5,0.31397495736921227
heerlijkheid,5,3,0.06278531012555444,6,0.3139265506277722
gazetteer,40,24,0.1043551090548979,4,0.3130653271646937
bashkortostan,11,7,0.062497177789756976,6,0.3124858889487849
kuyucak,14,4,0.10405966718972086,4,0.31217900156916256
chappaqua,4,3,0.10370347503340943,4,0.3111104251002283
moroccan,108,52,0.10309552504546504,4,0.3092865751363951
morocco,235,111,0.10286548503849595,4,0.30859645511548783
algorithm,735,124,0.10264799467696059,4,0.30794398403088175
racehorses,12,6,0.10257953476571631,4,0.30773860429714894
tchaikovsky,29,18,0.1021667332528902,4,0.3065001997586706
snowboarder,21,18,0.10100682310181268,4,0.303020469305438
dhruva,11,3,0.10079683700265966,4,0.302390511007979
franciscan,69,46,0.07554788123869048,5,0.3021915249547619
kagoshima,5,4,0.10068021454405347,4,0.30204064363216043
gothenburg,43,25,0.10050869442124469,4,0.3015260832637341
erdoğan,4,4,0.1002922798485548,4,0.30087683954566435
paramaribo,9,3,0.07494060070222179,5,0.29976240280888716
mccloskey,21,3,0.07484302648798119,5,0.29937210595192476
francisco,1000,405,0.09969901875346587,4,0.2990970562603976
capriccio,12,7,0.09962091674106859,4,0.29886275022320574
chalatenango,42,3,0.09933116691079387,4,0.2979935007323816
amphisbaena,32,3,0.09920550962815612,4,0.2976165288844684
kalimantan,23,7,0.07439376839347313,5,0.2975750735738925
chihuahua,17,11,0.07393918868654996,5,0.29575675474619983
chalukyas,18,3,0.07359988565402928,5,0.2943995426161171
susquehanna,19,9,0.07359709292137895,5,0.2943883716855158
bullfrog,20,3,0.0974045440398638,4,0.2922136321195914
toujours,10,7,0.09735482540855418,4,0.29206447622566256
guanajuato,6,5,0.07295400727501802,5,0.2918160291000721
punjabi,84,26,0.09716811579309417,4,0.29150434737928255
immunodeficiency,8,8,0.07278698336506802,5,0.29114793346027207
aşağı,5,5,0.07267498814999332,5,0.2906999525999733
magnanimous,9,9,0.09685659480047917,4,0.29056978440143755
multiple,1819,997,0.09665003287729353,4,0.2899500986318806
confucius,307,11,0.09634595923992706,4,0.2890378777197812
ketchum,13,7,0.09608368234037276,4,0.28825104702111826
constellations,227,33,0.09551701102783798,4,0.28655103308351393
supporting,901,609,0.09536869655809783,4,0.2861060896742935
dunfermline,39,11,0.07152463749523166,5,0.28609854998092665
frederick,606,317,0.09531577466773547,4,0.28594732400320644
